id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16238393,Cozy Rooftop Apartment - Vienna Central,9384370,Olivia,,Leopoldstadt,48.219210552710344,16.380505564086217,Entire home/apt,47,1,129,2019-01-17,4.94,3,191
16238824,"Big, homey apartment near city center",1792189,Barbara,,Alsergrund,48.22343719131638,16.351795535371096,Entire home/apt,80,3,3,2018-04-29,0.12,1,2
16241573,Lovely Schoenbrunn Palace Area Flat,4865438,Daniela,,Rudolfsheim-Fnfhaus,48.185930365373785,16.325193134696722,Entire home/apt,89,7,2,2018-05-01,0.10,19,0
16241655,Wonderful apartment in the heart of Vienna,15043034,Ferry,,Mariahilf,48.19853726976244,16.354369118819534,Entire home/apt,140,1,139,2019-02-06,5.42,1,319
16246926,nest,10270651,Tamta,,Alsergrund,48.23125055154322,16.3548215332718,Entire home/apt,50,3,0,,,1,0
16247213,"Urban Lodge (05), City Studio Vienna",909601,Bianca & Paul,,Leopoldstadt,48.219087178772725,16.408608326773304,Entire home/apt,125,2,11,2018-12-29,0.54,29,341
16247473,Urban Lodge (+) City Living Vienna,909601,Bianca & Paul,,Leopoldstadt,48.217651987065395,16.408621573267656,Entire home/apt,650,2,8,2018-12-09,0.37,29,365
16247505,homely apartment near Sissis homepalace Schönbrunn,5807314,Monika,,Penzing,48.1927674207785,16.312731621376393,Entire home/apt,49,4,4,2018-12-27,0.86,3,365
16247550,"Urban Lodge (12), City Studio Vienna",909601,Bianca & Paul,,Leopoldstadt,48.217795284433656,16.408908626760642,Entire home/apt,125,2,9,2019-01-03,0.42,29,323
16247801,"Urban Lodge (17), City Studio Vienna",909601,Bianca & Paul,,Leopoldstadt,48.217798889805465,16.408943365462893,Entire home/apt,125,2,5,2018-09-29,0.23,29,324
16247854,"Urban Lodge (18), City Studio Vienna",909601,Bianca & Paul,,Leopoldstadt,48.217367788931526,16.408457215383258,Entire home/apt,125,2,8,2018-12-30,0.38,29,324
16247903,"Urban Lodge (23), City Studio Vienna",909601,Bianca & Paul,,Leopoldstadt,48.21881746692658,16.4087056863552,Entire home/apt,125,2,10,2018-12-30,0.53,29,320
